Identifier	matchCounts
ENSMUSG00000102693	0
ENSMUSG00000064842	0
ENSMUSG00000051951	3
ENSMUSG00000103377	0
ENSMUSG00000104017	2
ENSMUSG00000103025	0
ENSMUSG00000089699	0
ENSMUSG00000103201	0
ENSMUSG00000103161	0
ENSMUSG00000102331	0
ENSMUSG00000102348	0
ENSMUSG00000102592	0
ENSMUSG00000088333	0
ENSMUSG00000102343	0
ENSMUSG00000025900	7
ENSMUSG00000104123	0
ENSMUSG00000025902	63
ENSMUSG00000104238	2
ENSMUSG00000096126	0
ENSMUSG00000104328	0
ENSMUSG00000088000	0
ENSMUSG00000033845	561
ENSMUSG00000102275	12
ENSMUSG00000025903	608
ENSMUSG00000104217	580
ENSMUSG00000033813	1185
ENSMUSG00000103280	0
ENSMUSG00000002459	3
ENSMUSG00000102653	0
ENSMUSG00000085623	0
ENSMUSG00000033793	688
ENSMUSG00000104046	0
ENSMUSG00000102907	0
ENSMUSG00000025905	0
ENSMUSG00000093015	0
ENSMUSG00000103519	0
ENSMUSG00000033774	0
ENSMUSG00000025907	1956
ENSMUSG00000090031	180
ENSMUSG00000087247	1
ENSMUSG00000033740	103
ENSMUSG00000103329	0
ENSMUSG00000051285	1025
ENSMUSG00000103509	291
ENSMUSG00000077244	0
ENSMUSG00000097797	24
ENSMUSG00000103067	0
ENSMUSG00000025909	99
ENSMUSG00000102647	1
ENSMUSG00000102253	12
ENSMUSG00000093970	1
ENSMUSG00000103884	1
ENSMUSG00000076135	7
ENSMUSG00000102316	5
ENSMUSG00000102871	0
ENSMUSG00000065625	0
ENSMUSG00000061024	242
ENSMUSG00000025911	41
ENSMUSG00000079671	23
ENSMUSG00000067879	0
ENSMUSG00000099827	0
ENSMUSG00000025912	78
ENSMUSG00000045210	1847
ENSMUSG00000097893	18
ENSMUSG00000025915	1551
ENSMUSG00000088916	0
ENSMUSG00000046101	34
ENSMUSG00000098234	374
ENSMUSG00000093178	22
ENSMUSG00000099032	9
ENSMUSG00000104025	0
ENSMUSG00000025916	3
ENSMUSG00000087199	0
ENSMUSG00000095780	1
ENSMUSG00000025917	641
ENSMUSG00000056763	1059
ENSMUSG00000102356	0
ENSMUSG00000067851	3043
ENSMUSG00000088153	0
ENSMUSG00000102556	94
ENSMUSG00000042501	3
ENSMUSG00000103810	1
ENSMUSG00000094979	0
ENSMUSG00000103448	0
ENSMUSG00000088585	0
ENSMUSG00000048960	1181
ENSMUSG00000077318	0
ENSMUSG00000103494	0
ENSMUSG00000057715	0
ENSMUSG00000103825	0
ENSMUSG00000103561	0
ENSMUSG00000093864	0
ENSMUSG00000098555	0
ENSMUSG00000097171	0
ENSMUSG00000101314	0
ENSMUSG00000016918	276
ENSMUSG00000025938	85
ENSMUSG00000104518	0
ENSMUSG00000099498	0
ENSMUSG00000042414	2
ENSMUSG00000005886	1913
ENSMUSG00000103506	72
ENSMUSG00000103495	66
ENSMUSG00000099183	0
ENSMUSG00000102639	17
ENSMUSG00000104170	79
ENSMUSG00000087782	2
ENSMUSG00000103085	308
ENSMUSG00000102664	136
ENSMUSG00000101476	1
ENSMUSG00000025935	2285
ENSMUSG00000025937	322
ENSMUSG00000102982	13
ENSMUSG00000067813	0
ENSMUSG00000077368	0
ENSMUSG00000102166	0
ENSMUSG00000089358	0
ENSMUSG00000104209	0
ENSMUSG00000025932	223
ENSMUSG00000095853	0
ENSMUSG00000102588	6
ENSMUSG00000054493	4
ENSMUSG00000025930	31
ENSMUSG00000103492	0
ENSMUSG00000032769	0
ENSMUSG00000088159	0
ENSMUSG00000092083	3
ENSMUSG00000102937	0
ENSMUSG00000104149	0
ENSMUSG00000088829	0
ENSMUSG00000077377	0
ENSMUSG00000025925	519
ENSMUSG00000104379	22
ENSMUSG00000032719	9
ENSMUSG00000088943	0
ENSMUSG00000067795	2
ENSMUSG00000043716	11777
ENSMUSG00000025921	495
ENSMUSG00000104165	0
ENSMUSG00000100868	0
ENSMUSG00000025920	102
ENSMUSG00000089982	1
ENSMUSG00000025939	508
ENSMUSG00000102457	0
ENSMUSG00000079658	832
ENSMUSG00000097744	1
ENSMUSG00000025940	280
ENSMUSG00000025779	163
ENSMUSG00000101640	0
ENSMUSG00000104133	0
ENSMUSG00000042686	19
ENSMUSG00000100110	0
ENSMUSG00000025777	0
ENSMUSG00000099899	0
ENSMUSG00000089534	0
ENSMUSG00000067780	75
ENSMUSG00000100053	47
ENSMUSG00000085125	129
ENSMUSG00000025776	326
ENSMUSG00000099895	0
ENSMUSG00000099473	0
ENSMUSG00000109887	0
ENSMUSG00000101717	0
ENSMUSG00000025774	0
ENSMUSG00000073735	0
ENSMUSG00000067773	0
ENSMUSG00000088800	0
ENSMUSG00000089787	0
ENSMUSG00000042596	0
ENSMUSG00000025927	0
ENSMUSG00000100538	0
ENSMUSG00000084668	0
ENSMUSG00000102597	0
ENSMUSG00000043760	0
ENSMUSG00000104095	0
ENSMUSG00000089914	0
ENSMUSG00000070175	0
ENSMUSG00000099906	0
ENSMUSG00000065559	0
ENSMUSG00000065480	0
ENSMUSG00000025929	0
ENSMUSG00000041872	2
ENSMUSG00000041859	1556
ENSMUSG00000102121	0
ENSMUSG00000088858	0
ENSMUSG00000097934	0
ENSMUSG00000025931	77
ENSMUSG00000077314	0
ENSMUSG00000041809	8
ENSMUSG00000041779	620
ENSMUSG00000099971	0
ENSMUSG00000025933	19
ENSMUSG00000102633	2
ENSMUSG00000025934	264
ENSMUSG00000099343	4
ENSMUSG00000025936	302
ENSMUSG00000067750	10
ENSMUSG00000041722	3
ENSMUSG00000085079	0
ENSMUSG00000028033	165
ENSMUSG00000104138	11
ENSMUSG00000103748	36
ENSMUSG00000041670	2
ENSMUSG00000101227	0
ENSMUSG00000073730	0
ENSMUSG00000089553	0
ENSMUSG00000102766	0
ENSMUSG00000065405	1
ENSMUSG00000097970	37
ENSMUSG00000065567	0
ENSMUSG00000100775	0
ENSMUSG00000026158	718
ENSMUSG00000099503	0
ENSMUSG00000026156	1
ENSMUSG00000026155	1457
ENSMUSG00000026154	156
ENSMUSG00000102495	0
ENSMUSG00000026153	181
ENSMUSG00000102398	0
ENSMUSG00000026147	0
ENSMUSG00000026141	81
ENSMUSG00000077463	1
ENSMUSG00000073725	1473
