"Source","Target"
9,14
15,16
17,18
23,30
23,40
38,41
15,45
43,49
48,51
19,54
2,56
29,56
38,56
1,62
50,62
36,65
58,65
5,66
65,66
6,67
11,67
12,67
24,67
28,67
35,67
65,67
45,68
67,69
38,71
39,71
48,71
59,71
67,71
70,71
9,72
23,73
23,75
56,76
62,78
34,79
48,79
55,79
67,80
71,84
70,85
67,87
62,88
67,89
70,90
56,92
45,93
9,94
67,95
88,96
23,97
67,98
70,99
88,100
16,101
62,103
62,104
70,105
48,106
60,106
8,107
26,107
46,107
52,107
56,107
62,107
63,107
67,108
67,109
60,111
23,113
70,114
67,115
56,116
71,117
23,120
23,121
42,121
56,121
68,121
71,123
67,124
34,128
77,128
91,128
38,129
4,131
19,131
67,131
118,131
126,131
132,133
132,134
67,135
21,136
44,136
57,136
71,136
86,136
125,136
133,136
67,137
9,138
65,139
136,140
121,141
107,142
62,143
71,144
136,145
62,146
45,147
23,148
67,150
7,152
10,152
13,152
20,152
33,152
47,152
53,152
61,152
64,152
74,152
81,152
83,152
104,152
122,152
149,152
25,153
27,153
43,153
65,153
119,153
130,153
153,155
136,156
38,157
23,158
131,159
67,160
152,161
152,162
70,163
9,165
67,166
167,168
79,169
17,171
37,171
71,171
82,171
102,171
110,171
112,171
154,171
164,171
167,171
170,171
107,172
167,173
9,174
67,174
152,175
31,176
152,176
171,177
67,178
171,179
23,180
32,181
56,181
127,181
151,181
56,182
67,183
21,184
67,185
62,186
171,187
136,188
67,189
48,190
57,191
71,192
3,193
22,193
67,193
23,194
71,195
152,196
152,197
171,198
