"Id","ensembl_gene_id","module","gene_symbol","organ","MM.pval","deseq2_sum.pval","geneID","is.hub","Label","hub_rank","log.MM","random_ranks"
"56","ENSMUSG00000029312","darkgreen","Klhl8","muscle",3.65838447000597e-14,1.9091795243578262e-6,"Klhl8",TRUE,"Klhl8",2,13.436710655221576,189
"71","ENSMUSG00000030403","darkgreen","Vasp","muscle",2.4322742583227213e-13,3.1261242828239604e-8,"Vasp",TRUE,"Vasp",2,12.61398745647139,190
"171","ENSMUSG00000024247","darkgreen","Pkdcc","muscle",2.389363312119121e-12,4.835972366690085e-9,"Pkdcc",TRUE,"Pkdcc",2,11.621717809039549,192
"121","ENSMUSG00000000317","darkgreen","Bcl6b","muscle",3.226450545261392e-12,1.507593209947676e-9,"Bcl6b",TRUE,"Bcl6b",2,11.491274987331902,183
"23","ENSMUSG00000068735","darkgreen","Trp53i11","muscle",6.186492397995209e-12,1.4134637387750505e-8,"Trp53i11",TRUE,"Trp53i11",2,11.208555516401747,185
"38","ENSMUSG00000050947","darkgreen","Amigo1","muscle",9.684698044803745e-12,2.0472658382167234e-8,"Amigo1",TRUE,"Amigo1",2,11.01391391542188,180
"152","ENSMUSG00000010830","darkgreen","Kdelr3","muscle",1.3412457627551705e-11,8.41828581581798e-5,"Kdelr3",TRUE,"Kdelr3",2,10.87249163704087,181
"107","ENSMUSG00000032220","darkgreen","Myo1e","muscle",1.5386912435820914e-11,1.945125773255243e-7,"Myo1e",TRUE,"Myo1e",2,10.812848517700123,195
"131","ENSMUSG00000020744","darkgreen","Slc25a19","muscle",2.3016548117011796e-11,0.02138287121701017,"Slc25a19",TRUE,"Slc25a19",2,10.63795980868815,196
"182","ENSMUSG00000054008","darkgreen","Ndst1","muscle",2.793742990859907e-11,4.743560563023444e-6,"Ndst1",TRUE,"Ndst1",2,10.553813549111347,197
"153","ENSMUSG00000000489","darkgreen","Pdgfb","muscle",3.994691153207769e-11,0.007450455234674632,"Pdgfb",TRUE,"Pdgfb",2,10.398516792230488,186
"48","ENSMUSG00000039936","darkgreen","Pik3cd","muscle",4.3352356897271116e-11,2.112957809439664e-4,"Pik3cd",TRUE,"Pik3cd",2,10.362987286661715,194
"62","ENSMUSG00000032766","darkgreen","Gng11","muscle",4.7004996310046804e-11,6.676850148673639e-8,"Gng11",TRUE,"Gng11",2,10.327855977073687,179
"67","ENSMUSG00000030123","darkgreen","Plxnd1","muscle",9.239703772997892e-11,0.019237176278318686,"Plxnd1",TRUE,"Plxnd1",2,10.034341952136458,191
"70","ENSMUSG00000030256","darkgreen","Bhlhe41","muscle",1.1369160549509143e-10,1.744236603061018e-5,"Bhlhe41",TRUE,"Bhlhe41",2,9.944271600587092,198
