ensembl_gene_id,gene_symbol,organ,module,MM.pval_b2,MM.pval,deseq2_sum.pval,is.hub_b1_MM,is.hub_b2_MM
ENSMUSG00000003526,Prodh,muscle,orange,6.35559737448272e-13,3.0463670475651e-11,1.65221209274781e-09,FALSE,TRUE
ENSMUSG00000030256,Bhlhe41,muscle,darkgreen,9.02197492969173e-13,1.13691605495091e-10,1.74423660306102e-05,TRUE,TRUE
ENSMUSG00000039936,Pik3cd,muscle,darkgreen,1.51427603380852e-12,4.33523568972711e-11,0.000211295780943966,TRUE,TRUE
ENSMUSG00000038518,Jarid2,muscle,darkgreen,1.96148953131567e-12,5.70422545078166e-09,0.00240143622498369,FALSE,TRUE
ENSMUSG00000032014,Oaf,muscle,darkgreen,3.00975842298046e-12,3.40809804904742e-10,7.0690942961902e-05,TRUE,TRUE
ENSMUSG00000040170,Fmo2,muscle,orange,5.76130198807156e-12,5.68213288028525e-15,8.77109985026809e-09,TRUE,TRUE
ENSMUSG00000074818,Pdzd7,muscle,darkgreen,6.4677742468371e-12,4.67414807134423e-09,0.000438443529316785,FALSE,TRUE
ENSMUSG00000086938,4930481A15Rik,muscle,orange,1.20436012233655e-11,3.23332777444202e-10,1.10077710974015e-08,FALSE,TRUE
ENSMUSG00000010830,Kdelr3,muscle,darkgreen,1.49824303336268e-11,1.34124576275517e-11,8.41828581581798e-05,TRUE,TRUE
ENSMUSG00000024247,Pkdcc,muscle,darkgreen,3.32479459753468e-11,2.38936331211912e-12,4.83597236669008e-09,TRUE,TRUE
ENSMUSG00000030403,Vasp,muscle,darkgreen,3.97544963517894e-11,2.43227425832272e-13,3.12612428282396e-08,TRUE,TRUE
ENSMUSG00000041417,Pik3r1,muscle,orange,7.27766467738312e-11,2.7828255247165e-13,9.86977433458282e-13,TRUE,TRUE
ENSMUSG00000024066,Xdh,muscle,orange,1.24111059866163e-10,3.01299251318887e-18,5.31884534201996e-12,TRUE,TRUE
ENSMUSG00000039515,Ptpa,muscle,darkgreen,1.43198720402037e-10,5.72400890618106e-10,0.000631762343525702,FALSE,TRUE
ENSMUSG00000032086,Bace1,muscle,darkgreen,1.96369748983664e-10,2.17300474022341e-07,1.69902400622867e-08,FALSE,TRUE
ENSMUSG00000020744,Slc25a19,muscle,darkgreen,2.2670573976342e-10,2.30165481170118e-11,0.0213828712170102,TRUE,TRUE
ENSMUSG00000026473,Glul,muscle,orange,2.74281336945875e-10,6.21967631500002e-15,1.5614298519337e-10,TRUE,TRUE
ENSMUSG00000024440,Pcdh12,muscle,darkgreen,2.913988242235e-10,1.3662014559672e-08,0.108527096370642,FALSE,TRUE
ENSMUSG00000023259,Slc26a6,muscle,darkgreen,3.22985606173421e-10,1.17815298255809e-05,0.0761560463382548,FALSE,TRUE
ENSMUSG00000004328,Hif3a,muscle,orange,5.22131851469143e-10,1.99302281099672e-11,1.91425507612367e-08,TRUE,TRUE
ENSMUSG00000027889,Ampd2,muscle,darkgreen,5.78739149525111e-10,1.18499862648297e-08,9.24796534647414e-06,FALSE,TRUE
ENSMUSG00000048897,Zfp710,muscle,darkgreen,5.97005443416553e-10,6.94689006096571e-07,0.0852951496018382,FALSE,TRUE
ENSMUSG00000026991,Pkp4,muscle,orange,7.0689885554655e-10,1.28199608137535e-13,1.25124536047469e-09,TRUE,TRUE
ENSMUSG00000032766,Gng11,muscle,darkgreen,7.93083092709875e-10,4.70049963100468e-11,6.67685014867364e-08,TRUE,TRUE
ENSMUSG00000029312,Klhl8,muscle,darkgreen,1.15648979928605e-09,3.65838447000597e-14,1.90917952435783e-06,TRUE,TRUE
ENSMUSG00000069833,Ahnak,muscle,orange,1.22214949061508e-09,1.01983898045558e-10,4.82759340895545e-09,FALSE,TRUE
