"Source","Target"
6,7
8,9
9,10
6,15
6,16
9,18
3,19
9,19
9,23
7,25
6,28
19,29
9,30
9,31
8,33
9,35
8,36
9,40
7,44
11,45
50,52
7,53
19,55
17,56
9,58
9,59
19,60
1,67
14,67
25,67
38,67
41,67
49,67
9,70
32,75
35,75
56,75
62,75
64,75
4,77
7,77
13,77
19,77
19,82
7,83
19,85
2,89
20,89
24,89
51,89
57,89
65,89
73,89
76,89
6,90
7,91
21,92
29,92
89,96
7,97
8,98
9,99
9,101
6,102
67,103
89,105
7,106
9,107
9,108
9,109
9,110
89,111
77,114
89,115
7,116
9,117
19,118
7,119
7,120
80,120
81,120
6,122
22,122
37,122
42,122
46,122
47,122
71,122
79,122
87,122
88,122
104,122
113,122
121,122
19,123
122,124
7,125
122,127
75,128
75,129
19,130
63,131
75,131
89,132
9,133
69,133
5,135
6,135
11,135
12,135
43,135
48,135
50,135
54,135
66,135
72,135
74,135
78,135
89,135
93,135
100,135
134,135
67,136
13,137
19,138
77,139
80,140
7,141
27,141
19,142
9,143
34,143
68,143
84,143
94,143
95,143
126,143
89,144
7,145
122,146
9,147
9,148
26,148
39,148
61,148
86,148
137,149
67,150
135,151
75,152
135,153
80,154
9,155
148,156
75,157
9,158
122,159
19,160
7,161
112,161
7,162
75,163
