"Id","ensembl_gene_id","module","gene_symbol","organ","MM.pval","deseq2_sum.pval","geneID","is.hub","Label","hub_rank","log.MM","random_ranks"
"19","ENSMUSG00000027074","orange","Slc43a3","muscle",1.6869085028263008e-19,2.6301159193008626e-8,"Slc43a3",TRUE,"Slc43a3",2,18.77290847271335,154
"148","ENSMUSG00000024066","orange","Xdh","muscle",3.012992513188874e-18,5.318845342019955e-12,"Xdh",TRUE,"Xdh",2,17.521001947478585,155
"67","ENSMUSG00000052040","orange","Klf13","muscle",5.140402425900386e-17,6.505600345875977e-14,"Klf13",TRUE,"Klf13",2,16.289002880127956,157
"9","ENSMUSG00000040170","orange","Fmo2","muscle",5.682132880285246e-15,8.771099850268088e-9,"Fmo2",TRUE,"Fmo2",2,14.245488614242113,148
"7","ENSMUSG00000026473","orange","Glul","muscle",6.219676315000023e-15,1.5614298519336973e-10,"Glul",TRUE,"Glul",2,14.206232216316769,150
"75","ENSMUSG00000030711","orange","Sult1a1","muscle",1.6968341264685725e-14,2.904158413288361e-7,"Sult1a1",TRUE,"Sult1a1",2,13.770360609939427,145
"35","ENSMUSG00000074207","orange","Adh1","muscle",1.8768903966807046e-14,4.8101212463710056e-12,"Adh1",TRUE,"Adh1",2,13.726561087797712,146
"11","ENSMUSG00000023206","orange","Il15ra","muscle",2.3261552936195193e-14,5.153486483797658e-11,"Il15ra",TRUE,"Il15ra",2,13.633361295234941,160
"6","ENSMUSG00000099227","orange","Mir8114","muscle",9.547371432380648e-14,9.072721450763641e-13,"Mir8114",TRUE,"Mir8114",2,13.02011618124829,161
"15","ENSMUSG00000026991","orange","Pkp4","muscle",1.2819960813753548e-13,1.251245360474692e-9,"Pkp4",TRUE,"Pkp4",2,12.892113302305237,162
"122","ENSMUSG00000041417","orange","Pik3r1","muscle",2.7828255247165036e-13,9.869774334582823e-13,"Pik3r1",TRUE,"Pik3r1",2,12.555514021847127,151
"130","ENSMUSG00000079018","orange","Ly6c1","muscle",8.203128777968322e-13,4.1078812339147804e-7,"Ly6c1",TRUE,"Ly6c1",2,12.08602047056264,159
"121","ENSMUSG00000074794","orange","Arrdc3","muscle",8.684659629101255e-13,1.3458509620189992e-9,"Arrdc3",TRUE,"Arrdc3",2,12.061247197838622,144
"143","ENSMUSG00000056492","orange","Adgrf5","muscle",1.7252281849458113e-12,2.2493544858918156e-5,"Adgrf5",TRUE,"Adgrf5",2,11.763153455426126,156
"93","ENSMUSG00000025422","orange","Agap2","muscle",2.7783388715920015e-12,6.229779505842529e-8,"Agap2",TRUE,"Agap2",2,11.556214784844979,163
"77","ENSMUSG00000031442","orange","Mcf2l","muscle",5.8137524495666e-12,6.089545460170501e-6,"Mcf2l",TRUE,"Mcf2l",2,11.235543464494741,147
"25","ENSMUSG00000085411","orange","Gm14319","muscle",6.3125189061465485e-12,1.263920895232321e-8,"Gm14319",TRUE,"Gm14319",2,11.199797308148874,149
"111","ENSMUSG00000059436","orange","Max","muscle",8.23155298365195e-12,1.263589101890826e-4,"Max",TRUE,"Max",2,11.084518222065412,153
"8","ENSMUSG00000040181","orange","Fmo1","muscle",9.559003536014594e-12,3.50411234683659e-10,"Fmo1",TRUE,"Fmo1",2,11.019587377741226,152
"66","ENSMUSG00000004328","orange","Hif3a","muscle",1.9930228109967182e-11,1.9142550761236722e-8,"Hif3a",TRUE,"Hif3a",2,10.700487730585358,158
"135","ENSMUSG00000003526","orange","Prodh","muscle",3.046367047565096e-11,1.6522120927478107e-9,"Prodh",FALSE,"",1,10.51621777101688,11
"117","ENSMUSG00000039004","orange","Bmp6","muscle",3.18650714625056e-11,4.072177804509464e-6,"Bmp6",FALSE,"",1,10.496685103208373,142
"133","ENSMUSG00000036158","orange","Prickle1","muscle",6.24199082024405e-11,6.6245175366227e-7,"Prickle1",FALSE,"",1,10.204676874363459,82
"115","ENSMUSG00000021265","orange","Slc25a29","muscle",6.893903346796894e-11,3.024985603001236e-9,"Slc25a29",FALSE,"",1,10.161534809736748,19
"155","ENSMUSG00000069833","orange","Ahnak","muscle",1.0198389804555769e-10,4.827593408955451e-9,"Ahnak",FALSE,"",1,9.99146839237519,101
"123","ENSMUSG00000021750","orange","Fam107a","muscle",1.0565545947337658e-10,1.0201957644598945e-6,"Fam107a",FALSE,"",1,9.976108056984575,47
"100","ENSMUSG00000020848","orange","Doc2b","muscle",1.1181962640950746e-10,3.574162824577372e-11,"Doc2b",FALSE,"",1,9.95148196305714,140
"89","ENSMUSG00000001151","orange","Pcnt","muscle",1.3785045523030575e-10,5.610059158613104e-6,"Pcnt",FALSE,"",1,9.860591795363915,83
"70","ENSMUSG00000025723","orange","Nmb","muscle",1.6074480425758312e-10,8.879009484550234e-10,"Nmb",FALSE,"",1,9.793863055845287,125
"50","ENSMUSG00000029455","orange","Aldh2","muscle",1.6850660581720336e-10,2.8992836942820508e-5,"Aldh2",FALSE,"",1,9.773383069191894,23
"51","ENSMUSG00000029456","orange","Acad10","muscle",1.7451061715904374e-10,8.218903494036105e-7,"Acad10",FALSE,"",1,9.758178145591229,56
"92","ENSMUSG00000019966","orange","Kitl","muscle",2.3090500338622433e-10,1.1018071612952476e-7,"Kitl",FALSE,"",1,9.63656665643109,51
"157","ENSMUSG00000041488","orange","Stx3","muscle",2.5572373978896527e-10,4.6708521430660735e-4,"Stx3",FALSE,"",1,9.592228952924883,31
"153","ENSMUSG00000086938","orange","4930481A15Rik","muscle",3.233327774442015e-10,1.1007771097401476e-8,"4930481A15Rik",FALSE,"",1,9.490350267112563,84
"141","ENSMUSG00000024210","orange","Ip6k3","muscle",3.439034517641372e-10,2.8627665428996067e-9,"Ip6k3",FALSE,"",1,9.46356346513584,131
"144","ENSMUSG00000002831","orange","Plin4","muscle",4.664484619505002e-10,1.678789745691444e-5,"Plin4",FALSE,"",1,9.331196334612006,49
"147","ENSMUSG00000049672","orange","Zbtb14","muscle",6.782569824734277e-10,5.610645633505338e-8,"Zbtb14",FALSE,"",1,9.16860572659833,85
"109","ENSMUSG00000020641","orange","Rsad2","muscle",1.0034257458005736e-9,6.635317169121282e-5,"Rsad2",FALSE,"",1,8.99851476007957,118
"95","ENSMUSG00000020315","orange","Sptbn1","muscle",2.5297514933297433e-9,2.9882299021586164e-4,"Sptbn1",FALSE,"",1,8.596922139051996,116
"53","ENSMUSG00000029648","orange","Flt1","muscle",2.662088524780192e-9,0.0042699396050681895,"Flt1",FALSE,"",1,8.574777506643347,61
"113","ENSMUSG00000041669","orange","Prima1","muscle",2.9290219585726907e-9,1.4758970490752323e-9,"Prima1",FALSE,"",1,8.53327737244568,46
"85","ENSMUSG00000032202","orange","Rab27a","muscle",4.0822682105298e-9,2.0064428969539117e-4,"Rab27a",FALSE,"",1,8.389098464949083,127
"87","ENSMUSG00000010064","orange","Slc38a3","muscle",4.59598285746796e-9,1.272691079180115e-7,"Slc38a3",FALSE,"",1,8.337621599853412,39
"161","ENSMUSG00000067279","orange","Ppp1r3c","muscle",4.958930954867033e-9,1.4076753578576352e-4,"Ppp1r3c",FALSE,"",1,8.30461193851853,114
"151","ENSMUSG00000024481","orange","Lvrn","muscle",5.4803701155405695e-9,2.539771901452132e-4,"Lvrn",FALSE,"",1,8.261190110546822,75
"78","ENSMUSG00000002910","orange","Arrdc2","muscle",6.045177762884569e-9,0.00476695109471146,"Arrdc2",FALSE,"",1,8.218590923867765,94
"104","ENSMUSG00000093273","orange","Mir3064","muscle",6.874557729016615e-9,2.807268693916792e-5,"Mir3064",FALSE,"",1,8.162755236701482,41
"146","ENSMUSG00000073375","orange","Lrrc30","muscle",7.364956324260781e-9,4.16634207411926e-5,"Lrrc30",FALSE,"",1,8.132829824271287,91
"88","ENSMUSG00000058297","orange","Spock2","muscle",8.125503650455533e-9,1.696032300723436e-4,"Spock2",FALSE,"",1,8.090149710246374,50
"56","ENSMUSG00000038065","orange","Mturn","muscle",1.2223738501470891e-8,1.1617026208416523e-5,"Mturn",FALSE,"",1,7.912795949391992,22
"118","ENSMUSG00000021367","orange","Edn1","muscle",1.3028833138403228e-8,8.612967821433201e-4,"Edn1",FALSE,"",1,7.88509447793628,54
"60","ENSMUSG00000030317","orange","Timp4","muscle",1.8144778980312678e-8,4.4606960160492864e-4,"Timp4",FALSE,"",1,7.741248317527641,1
"38","ENSMUSG00000028444","orange","Cntfr","muscle",1.8477666864587005e-8,2.018370289597748e-10,"Cntfr",FALSE,"",1,7.733352867088005,4
"18","ENSMUSG00000059588","orange","Calcrl","muscle",2.094328980167058e-8,2.1739558697539815e-7,"Calcrl",FALSE,"",1,7.678955097705326,86
"126","ENSMUSG00000071347","orange","C1qtnf9","muscle",2.1378727567974404e-8,1.1284490394596465e-8,"C1qtnf9",FALSE,"",1,7.670018146959434,9
"102","ENSMUSG00000000805","orange","Car4","muscle",2.337548149178744e-8,2.6552006907322624e-5,"Car4",FALSE,"",1,7.6312394346983226,87
"82","ENSMUSG00000070304","orange","Scn2b","muscle",2.4218007532819648e-8,2.3576131291662934e-4,"Scn2b",FALSE,"",1,7.6158615900574,138
"160","ENSMUSG00000024778","orange","Fas","muscle",2.5670166352916483e-8,1.2947901971652033e-4,"Fas",FALSE,"",1,7.590571316917977,70
"64","ENSMUSG00000030287","orange","Itpr2","muscle",2.7131338560619673e-8,1.0103436572401857e-4,"Itpr2",FALSE,"",1,7.566528779214805,107
"29","ENSMUSG00000027834","orange","Serpini1","muscle",3.057806715238019e-8,2.3147747943403187e-4,"Serpini1",FALSE,"",1,7.514589969923869,111
"101","ENSMUSG00000020682","orange","Mmp28","muscle",3.347291816628158e-8,3.4476665235260518e-6,"Mmp28",FALSE,"",1,7.475306424234147,106
"54","ENSMUSG00000056602","orange","Fry","muscle",4.856154007508598e-8,2.161095339738138e-4,"Fry",FALSE,"",1,7.313707548549241,108
"33","ENSMUSG00000040339","orange","Eeig2","muscle",5.906237072458537e-8,5.0345714146141e-6,"Eeig2",FALSE,"",1,7.228689124727159,73
"12","ENSMUSG00000058594","orange","Fbh1","muscle",6.378536712340004e-8,5.023823080491032e-6,"Fbh1",FALSE,"",1,7.195278940502153,67
"94","ENSMUSG00000032878","orange","Ccdc85a","muscle",6.763289100385618e-8,6.236553164677114e-6,"Ccdc85a",FALSE,"",1,7.16984204802953,88
"61","ENSMUSG00000042213","orange","Zfand4","muscle",6.99955049220438e-8,3.0075009673187023e-6,"Zfand4",FALSE,"",1,7.154929849274815,110
"73","ENSMUSG00000100254","orange","Trpc2","muscle",7.696820950408864e-8,0.008849691317215823,"Trpc2",FALSE,"",1,7.113688616227823,78
"40","ENSMUSG00000028475","orange","Spaar","muscle",7.808624869953796e-8,4.055891977855454e-4,"Spaar",FALSE,"",1,7.107425440383076,37
"145","ENSMUSG00000024085","orange","Man2a1","muscle",8.391109746699795e-8,1.565961437161548e-6,"Man2a1",FALSE,"",1,7.076180598766462,66
"131","ENSMUSG00000009585","orange","Apobec3","muscle",8.731694766756954e-8,0.005718180910811664,"Apobec3",FALSE,"",1,7.058901454299372,132
"5","ENSMUSG00000045968","orange","Teddm2","muscle",1.0788873657349983e-7,5.830170478215182e-6,"Teddm2",FALSE,"",1,6.9670238926600705,112
"105","ENSMUSG00000034120","orange","Srsf2","muscle",1.4643659758537703e-7,1.3935715888674435e-7,"Srsf2",FALSE,"",1,6.834350370387763,104
"132","ENSMUSG00000041653","orange","Pnpla3","muscle",1.865273782761965e-7,4.347320088248541e-6,"Pnpla3",FALSE,"",1,6.729257413927058,20
"106","ENSMUSG00000087057","orange","Gm11730","muscle",2.391269531614572e-7,0.00906934728510721,"Gm11730",FALSE,"",1,6.621371469682771,81
"3","ENSMUSG00000042807","orange","Hecw2","muscle",2.6526962625648974e-7,5.247541076503065e-4,"Hecw2",FALSE,"",1,6.576312474497033,52
"119","ENSMUSG00000113737","orange","BB123696","muscle",2.8524403616832435e-7,4.1843341164373446e-4,"BB123696",FALSE,"",1,6.544783426966764,103
"58","ENSMUSG00000058706","orange","0610030E20Rik","muscle",3.0044657257669907e-7,1.3708413229444568e-4,"0610030E20Rik",FALSE,"",1,6.522232745951015,34
"127","ENSMUSG00000057913","orange","Gm10032","muscle",3.205882039485205e-7,3.7667226490840818e-6,"Gm10032",FALSE,"",1,6.4940524615648885,80
"120","ENSMUSG00000056749","orange","Nfil3","muscle",3.595260315472011e-7,0.0016356285828506454,"Nfil3",FALSE,"",1,6.444269658972304,8
"22","ENSMUSG00000057133","orange","Chd6","muscle",3.626659402637124e-7,3.721127824563682e-8,"Chd6",FALSE,"",1,6.440493229228211,10
"79","ENSMUSG00000031949","orange","Adat1","muscle",4.895259990713423e-7,4.147474156112339e-4,"Adat1",FALSE,"",1,6.310224237561824,59
"159","ENSMUSG00000040451","orange","Sgms1","muscle",4.981947451178757e-7,6.581984635358054e-4,"Sgms1",FALSE,"",1,6.302600857647255,27
"129","ENSMUSG00000005125","orange","Ndrg1","muscle",7.02669459496495e-7,0.0016160550829267834,"Ndrg1",FALSE,"",1,6.153248922029002,117
"72","ENSMUSG00000070425","orange","Xntrpc","muscle",7.467627932860098e-7,0.00898986934298068,"Xntrpc",FALSE,"",1,6.126817328474853,18
"128","ENSMUSG00000068015","orange","Lrch1","muscle",8.414041878431705e-7,4.640619684073499e-4,"Lrch1",FALSE,"",1,6.074995330739924,17
"134","ENSMUSG00000023032","orange","Slc4a8","muscle",9.385250346990163e-7,7.485634618677068e-4,"Slc4a8",FALSE,"",1,6.027554138293962,109
"2","ENSMUSG00000026121","orange","Sema4c","muscle",9.51023737663873e-7,4.1260210663023106e-5,"Sema4c",FALSE,"",1,6.021808642886168,139
"44","ENSMUSG00000078552","orange","Dcdc2b","muscle",1.0508434409110392e-6,0.012629799801506728,"Dcdc2b",FALSE,"",1,5.9784619821764196,14
"162","ENSMUSG00000047731","orange","Wbp1l","muscle",1.3703297009453286e-6,0.019083547871455338,"Wbp1l",FALSE,"",1,5.863174929139622,113
"34","ENSMUSG00000039735","orange","Fnbp1l","muscle",1.3964060472752983e-6,0.0026601490016076148,"Fnbp1l",FALSE,"",1,5.85498827909833,16
"110","ENSMUSG00000097494","orange","4933406C10Rik","muscle",1.8890821100994768e-6,0.008675355192087685,"4933406C10Rik",FALSE,"",1,5.72374916479489,141
"90","ENSMUSG00000020262","orange","Adarb1","muscle",1.899243706005447e-6,0.013585004251138889,"Adarb1",FALSE,"",1,5.7214193041505474,93
"76","ENSMUSG00000089736","orange","Tgfbr3l","muscle",2.0514643436766062e-6,0.031417161029192314,"Tgfbr3l",FALSE,"",1,5.6879360270661,32
"124","ENSMUSG00000008813","orange","Tppp2","muscle",2.538325861103924e-6,0.012488667967280095,"Tppp2",FALSE,"",1,5.595452625505688,63
"36","ENSMUSG00000028036","orange","Ptgfr","muscle",2.763621904358245e-6,1.9613236503274674e-5,"Ptgfr",FALSE,"",1,5.558521373773563,128
